created_at;komentar;username;case_folding;cleaning;tokenizing;normalisasi;stopword;lemmatisasi;cluster;Cluster Label
Wed Jul 24 05:16:54 +0000 2024;@abigailimuriaa - Perawat kaki kuda - EO karapan sapi;abdillaharf;@abigailimuriaa - perawat kaki kuda - eo karapan sapi;abigailimuriaa  perawat kaki kuda  eo karapan sapi;['abigailimuriaa', 'perawat', 'kaki', 'kuda', 'eo', 'karapan', 'sapi'];['abigailimuriaa', 'perawat', 'kaki', 'kuda', 'eo', 'karapan', 'sapi'];abigailimuriaa perawat kaki kuda eo karapan sapi;abigailimuriaa awat kaki kuda eo karapan sapi;0;Positif
Wed Jul 24 01:56:14 +0000 2024;@HabisNontonFilm AANWELL PRESTASINYA LOMBA MELAMUN KAB BOGOR SAMA LOMBA KARAPAN SAPI ;jancoklambemu;@habisnontonfilm aanwell prestasinya lomba melamun kab bogor sama lomba karapan sapi ;habisnontonfilm aanwell prestasinya lomba melamun kab bogor sama lomba karapan sapi;['habisnontonfilm', 'aanwell', 'prestasinya', 'lomba', 'melamun', 'kab', 'bogor', 'sama', 'lomba', 'karapan', 'sapi'];['habisnontonfilm', 'aanwell', 'prestasinya', 'lomba', 'melamun', 'kab', 'bogor', 'sama', 'lomba', 'karapan', 'sapi'];habisnontonfilm aanwell prestasinya lomba melamun kab bogor lomba karapan sapi;habisnontonfilm aanwell prestasi lomba lamun kab bogor lomba karapan sapi;0;Positif
Mon Jul 22 22:28:06 +0000 2024;@HabisNontonFilm Karapan sapi ga tuh;owhispbabe;@habisnontonfilm karapan sapi ga tuh;habisnontonfilm karapan sapi ga tuh;['habisnontonfilm', 'karapan', 'sapi', 'ga', 'tuh'];['habisnontonfilm', 'karapan', 'sapi', 'tidak', 'tuh'];habisnontonfilm karapan sapi tuh;habisnontonfilm karapan sapi tuh;0;Positif
Mon Jul 22 14:01:24 +0000 2024;@barrysianturi Konteks secara umum atau spesifik ke sesuatu? Joki tuh banyak bukan cuma ada di dunia akademik. Joki kuda joki karapan sapi joki three in one joki balap motor joki togel bahkan joki covid dst bahkan DJ musik pun joki juga ;J_OK_i;@barrysianturi konteks secara umum atau spesifik ke sesuatu? joki tuh banyak bukan cuma ada di dunia akademik. joki kuda joki karapan sapi joki three in one joki balap motor joki togel bahkan joki covid dst bahkan dj musik pun joki juga ;barrysianturi konteks secara umum atau spesifik ke sesuatu joki tuh banyak bukan cuma ada di dunia akademik joki kuda joki karapan sapi joki three in one joki balap motor joki togel bahkan joki covid dst bahkan dj musik pun joki juga;['barrysianturi', 'konteks', 'secara', 'umum', 'atau', 'spesifik', 'ke', 'sesuatu', 'joki', 'tuh', 'banyak', 'bukan', 'cuma', 'ada', 'di', 'dunia', 'akademik', 'joki', 'kuda', 'joki', 'karapan', 'sapi', 'joki', 'three', 'in', 'one', 'joki', 'balap', 'motor', 'joki', 'togel', 'bahkan', 'joki', 'covid', 'dst', 'bahkan', 'dj', 'musik', 'pun', 'joki', 'juga'];['barrysianturi', 'konteks', 'secara', 'umum', 'atau', 'spesifik', 'ke', 'sesuatu', 'joki', 'tuh', 'banyak', 'bukan', 'cuma', 'ada', 'di', 'dunia', 'akademik', 'joki', 'kuda', 'joki', 'karapan', 'sapi', 'joki', 'three', 'ini', 'one', 'joki', 'balap', 'motor', 'joki', 'togel', 'bahkan', 'joki', 'covid', 'dst', 'bahkan', 'dj', 'musik', 'pun', 'joki', 'juga'];barrysianturi konteks spesifik joki tuh dunia akademik joki kuda joki karapan sapi joki three one joki balap motor joki togel joki covid dj musik joki juga;barrysianturi konteks spesifik joki tuh dunia akademik joki kuda joki karapan sapi joki three one joki balap motor joki togel joki covid dj musik joki juga;0;Positif
Mon Jul 22 08:44:54 +0000 2024;Ya yg kegiatan laki-laki gitu Tawuran Ngebengkel Karapan Sapi Futsal Panjat Pinang;theovertureofme;ya yg kegiatan laki-laki gitu tawuran ngebengkel karapan sapi futsal panjat pinang;ya yg kegiatan lakilaki gitu tawuran ngebengkel karapan sapi futsal panjat pinang;['ya', 'yg', 'kegiatan', 'lakilaki', 'gitu', 'tawuran', 'ngebengkel', 'karapan', 'sapi', 'futsal', 'panjat', 'pinang'];['ya', 'yang', 'kegiatan', 'lakilaki', 'begitu', 'tawuran', 'ngebengkel', 'karapan', 'sapi', 'futsal', 'panjat', 'pinang'];ya kegiatan lakilaki tawuran ngebengkel karapan sapi futsal panjat pinang;ya giat lakilaki tawur ngebengkel karapan sapi futsal panjat pinang;0;Positif
Sun Jul 21 04:12:51 +0000 2024;Eksplorasi Karapan Sapi dan Topeng Patengteng 190 Lukisan Dipamerkan di Pendopo Agung Bangkalan https://t.co/sYmkWaAVU4;JPRadarMadura;eksplorasi karapan sapi dan topeng patengteng 190 lukisan dipamerkan di pendopo agung bangkalan https://t.co/symkwaavu4;eksplorasi karapan sapi dan topeng patengteng  lukisan dipamerkan di pendopo agung bangkalan httpstcosymkwaavu;['eksplorasi', 'karapan', 'sapi', 'dan', 'topeng', 'patengteng', 'lukisan', 'dipamerkan', 'di', 'pendopo', 'agung', 'bangkalan', 'httpstcosymkwaavu'];['eksplorasi', 'karapan', 'sapi', 'dan', 'topeng', 'patengteng', 'lukisan', 'dipamerkan', 'di', 'pendopo', 'agung', 'bangkalan', 'httpstcosymkwaavu'];eksplorasi karapan sapi topeng patengteng lukisan dipamerkan pendopo agung bangkalan httpstcosymkwaavu;eksplorasi karapan sapi topeng patengteng lukis pamer pendopo agung bangkal httpstcosymkwaavu;0;Positif
Sun Jul 21 01:14:07 +0000 2024;@RadioElshinta situasi arus lalu lintas di tengah Kota Surabaya Monumen Patung Karapan sapi Jalan Basuki Rahmat terimah kasih. #Tertibitukeren https://t.co/qoUaIFAoWe;ArifLantas_sby;@radioelshinta situasi arus lalu lintas di tengah kota surabaya monumen patung karapan sapi jalan basuki rahmat terimah kasih. #tertibitukeren https://t.co/qouaifaowe;radioelshinta situasi arus lalu lintas di tengah kota surabaya monumen patung karapan sapi jalan basuki rahmat terimah kasih tertibitukeren httpstcoqouaifaowe;['radioelshinta', 'situasi', 'arus', 'lalu', 'lintas', 'di', 'tengah', 'kota', 'surabaya', 'monumen', 'patung', 'karapan', 'sapi', 'jalan', 'basuki', 'rahmat', 'terimah', 'kasih', 'tertibitukeren', 'httpstcoqouaifaowe'];['radioelshinta', 'situasi', 'arus', 'lalu', 'lintas', 'di', 'tengah', 'kota', 'surabaya', 'monumen', 'patung', 'karapan', 'sapi', 'jalan', 'basuki', 'rahmat', 'terimah', 'kasih', 'tertibitukeren', 'httpstcoqouaifaowe'];radioelshinta situasi arus lintas kota surabaya monumen patung karapan sapi jalan basuki rahmat terimah kasih tertibitukeren httpstcoqouaifaowe;radioelshinta situasi arus lintas kota surabaya monumen patung karapan sapi jalan basuki rahmat terimah kasih tertibitukeren httpstcoqouaifaowe;0;Positif
Sat Jul 20 19:35:55 +0000 2024;@irwndfrry itu yang karapan sapi bagus bgt si asliiii;jajalijal16;@irwndfrry itu yang karapan sapi bagus bgt si asliiii;irwndfrry itu yang karapan sapi bagus bgt si asliiii;['irwndfrry', 'itu', 'yang', 'karapan', 'sapi', 'bagus', 'bgt', 'si', 'asliiii'];['irwndfrry', 'itu', 'yang', 'karapan', 'sapi', 'bagus', 'banget', 'sih', 'asli'];irwndfrry karapan sapi bagus banget sih asli;irwndfrry karapan sapi bagus banget sih asli;0;Positif
Sat Jul 20 00:26:26 +0000 2024;@ferrykoto Pe ka es partai karapan sapi;sareng_charles;@ferrykoto pe ka es partai karapan sapi;ferrykoto pe ka es partai karapan sapi;['ferrykoto', 'pe', 'ka', 'es', 'partai', 'karapan', 'sapi'];['ferrykoto', 'pe', 'kak', 'es', 'partai', 'karapan', 'sapi'];ferrykoto pe kak es partai karapan sapi;ferrykoto pe kak es partai karapan sapi;0;Positif
Fri Jul 19 11:42:01 +0000 2024;@tebakgambar_ID Karapan sapi;irskam_0607;@tebakgambar_id karapan sapi;tebakgambarid karapan sapi;['tebakgambarid', 'karapan', 'sapi'];['tebakgambarid', 'karapan', 'sapi'];tebakgambarid karapan sapi;tebakgambarid karapan sapi;0;Positif
