stopword;lemmatisasi;cluster;Cluster Label
abigailimuriaa perawat kaki kuda eo karapan sapi;abigailimuriaa awat kaki kuda eo karapan sapi;0;Positif
habisnontonfilm aanwell prestasinya lomba melamun kab bogor lomba karapan sapi;habisnontonfilm aanwell prestasi lomba lamun kab bogor lomba karapan sapi;0;Positif
habisnontonfilm karapan sapi tuh;habisnontonfilm karapan sapi tuh;0;Positif
barrysianturi konteks spesifik joki tuh dunia akademik joki kuda joki karapan sapi joki three one joki balap motor joki togel joki covid dj musik joki juga;barrysianturi konteks spesifik joki tuh dunia akademik joki kuda joki karapan sapi joki three one joki balap motor joki togel joki covid dj musik joki juga;0;Positif
ya kegiatan lakilaki tawuran ngebengkel karapan sapi futsal panjat pinang;ya giat lakilaki tawur ngebengkel karapan sapi futsal panjat pinang;0;Positif
eksplorasi karapan sapi topeng patengteng lukisan dipamerkan pendopo agung bangkalan httpstcosymkwaavu;eksplorasi karapan sapi topeng patengteng lukis pamer pendopo agung bangkal httpstcosymkwaavu;0;Positif
radioelshinta situasi arus lintas kota surabaya monumen patung karapan sapi jalan basuki rahmat terimah kasih tertibitukeren httpstcoqouaifaowe;radioelshinta situasi arus lintas kota surabaya monumen patung karapan sapi jalan basuki rahmat terimah kasih tertibitukeren httpstcoqouaifaowe;0;Positif
irwndfrry karapan sapi bagus banget sih asli;irwndfrry karapan sapi bagus banget sih asli;0;Positif
ferrykoto pe kak es partai karapan sapi;ferrykoto pe kak es partai karapan sapi;0;Positif
tebakgambarid karapan sapi;tebakgambarid karapan sapi;0;Positif
niko pakai helm habis dare panitia karapan sapi unmood kena deh;niko pakai helm habis dare panitia karapan sapi unmood kena deh;0;Positif
niko pakai helm habis dare panitia karapan sapi unmood;niko pakai helm habis dare panitia karapan sapi unmood;0;Positif
niko pakai helm habis dare panitia karapan sapi;niko pakai helm habis dare panitia karapan sapi;0;Positif
namanya marco remoncelli ben luka cerita balapannya seingetku luka memacu karapan sapi;nama marco remoncelli ben luka cerita balap seingetku luka pacu karapan sapi;0;Positif
mikaeldewabrata scrooge mduck paman gober muda singgah menonton karapan sapi menyaksikan langsung krakatau meletus tintin jakarta mendarat bandar udara kemayoran httpstcooydelbwu;mikaeldewabrata scrooge mduck paman gober muda singgah tonton karapan sapi saksi langsung krakatau letus tintin jakarta darat bandar udara mayor httpstcooydelbwu;0;Positif
bllshittt bajingan penunggang sapi balapan karapan sapi;bllshittt bajing tunggang sapi balap karapan sapi;0;Positif
innovacommunity madura alphard muat ngarit rumput bawa sapi pasar hewanatau stadion karapan sapi;innovacommunity madura alphard muat ngarit rumput bawa sapi pasar hewanatau stadion karapan sapi;0;Positif
satriohendri orang tinggal disana membanyaki sirkuit motorcross ajang offroad olahraga tradisional balap kerbau karapan sapi dijamin rame wapres ayahnya wapres terpilih kerasan;satriohendri orang tinggal sana banyak sirkuit motorcross ajang offroad olahraga tradisional balap kerbau karapan sapi jamin rame wapres ayah wapres pilih kerasan;0;Positif
ibnuantt surabaya mimik karapan sapi lagi;ibnuantt surabaya mimik karapan sapi lagi;0;Positif
cnnindonesia bijimanepun mobil listrik berjaya ribet amp;cnnindonesia bijimanepun mobil listrik jaya ribet amp;0;Positif
jjoysbahng menunggu bangchan main karapan sapi;jjoysbahng tunggu bangchan main karapan sapi;0;Positif
cvnkjl karapan sapi pudding ini;cvnkjl karapan sapi pudding ini;0;Positif
nomor amp;nomor amp;0;Positif
asdn mevvah gorengan biji bekel pakai salawean biji koin seratus karapan sapi biji;asdn mevvah goreng biji bekel pakai salawean biji koin ratus karapan sapi biji;0;Positif
ultah besok pakai kue deh lihat karapan sapi saja;ultah besok pakai kue deh lihat karapan sapi saja;0;Positif
indonesia traditional sport culture pencak silat sepak takrawraga damdaman jemparingan lompat batu pacu jalur patholgulat okol egrang terompah panjangbakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balokbalap karung panjat pinang karapan sapi;indonesia traditional sport culture pencak silat sepak takrawraga damdaman jemparing lompat batu pacu jalur patholgulat okol egrang terompah panjangbakiak gobak sodor tarik tambang dagongan sumpit gasing lari balokbalap karung panjat pinang karapan sapi;0;Positif
budaya olahraga tradisional indonesia pencak silat sepak takrawraga damdamancatur jemparingan lompat batu pacu jalur patholgulat okol egrang terompahbakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balokbalap karung panjat pinang karapan sapi;budaya olahraga tradisional indonesia pencak silat sepak takrawraga damdamancatur jemparing lompat batu pacu jalur patholgulat okol egrang terompahbakiak gobak sodor tarik tambang dagongan sumpit gasing lari balokbalap karung panjat pinang karapan sapi;0;Positif
budaya sukan tradisional indonesia pencak silat sepak takrawraga damdamancatur jemparingan lompat batu pacu jalur pathol gulat okol egrang terompahbakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi;budaya sukan tradisional indonesia pencak silat sepak takrawraga damdamancatur jemparing lompat batu pacu jalur pathol gulat okol egrang terompahbakiak gobak sodor tarik tambang dagongan sumpit gasing lari balok balap karung panjat pinang karapan sapi;0;Positif
revitalisasi lapangan karapan sapi sumenep masuk tahap tender httpstcogkvmyjvknl;revitalisasi lapang karapan sapi sumenep masuk tahap tender httpstcogkvmyjvknl;0;Positif
pegel banget badan kayak habis karapan sapi;gel banget badan kayak habis karapan sapi;0;Positif
pidubaek karapan sapi;pidubaek karapan sapi;0;Positif
sebuwah keruwetan muteri karapan sapi kali nemu calf;sebuwah ruwet muteri karapan sapi kali nemu calf;0;Positif
suku suku madura memiliki tradisi khas zaman nenek moyang karapan sapi pacuan sapi tradisi cahe tradisi suku madura masyarakat musim musim penghujan rapmanesia httpstcobdzcvpqc;suku suku madura milik tradisi khas zaman nenek moyang karapan sapi pacu sapi tradisi cahe tradisi suku madura masyarakat musim musim hujan rapmanesia httpstcobdzcvpqc;0;Positif
riizefess atlet karapan sapi mah;riizefess atlet karapan sapi mah;0;Positif
tenkadaihiji pasar legi kortingan kue pulang menonton karapan sapi selamat pagi bosque tenang sarapan pagi httpstcojyvxxsv;tenkadaihiji pasar legi korting kue pulang tonton karapan sapi selamat pagi bosque tenang sarap pagi httpstcojyvxxsv;0;Positif
morning sunshineeeee madura menonton karapan sapi omaeraaaa lupa sarapan pagi biar lemes gemink gutlak tudeyyyyy ywaaa moga lancar jaya stay hydrated httpstcogqikbaybhz;morning sunshineeeee madura tonton karapan sapi omaeraaaa lupa sarap pagi biar lemes gemink gutlak tudeyyyyy ywaaa moga lancar jaya stay hydrated httpstcogqikbaybhz;0;Positif
ndrypd guedine johhh karapan sapi nang suroboyo kalah karo sapi ngene;ndrypd guedine johhh karapan sapi nang suroboyo kalah karo sapi ngene;0;Positif
kalau mengomongkan karapan sapi madura luput kesenian kusik yups saronen orang madura merupakannsalah kesenian tradisional madura mengarak sapi acara kerapan sapi httpstcosptrkwlno;kalau omong karapan sapi madura luput seni kusik yups saronen orang madura merupakannsalah seni tradisional madura arak sapi acara kerap sapi httpstcosptrkwlno;0;Positif
bagusanindya karapan sapi;bagusanindya karapan sapi;0;Positif
tanyarlfes joki halal joki pacuan kuda karapan sapi;tanyarlfes joki halal joki pacu kuda karapan sapi;0;Positif
banyak mengisi liburan sekolah anakanak kota probolinggo jawa timur asyik mengisi liburan mandi lumpur sambal penggembira karapan sapi brujul mnctvnews lintasinewssiang karapansapi probolinggo jawatimur liburan httpstcoleclvhrz;banyak isi libur sekolah anakanak kota probolinggo jawa timur asyik isi libur mandi lumpur sambal gembira karapan sapi brujul mnctvnews lintasinewssiang karapansapi probolinggo jawatimur libur httpstcoleclvhrz;0;Positif
adrablehee skeh bawa karapan sapi;adrablehee skeh bawa karapan sapi;0;Positif
